Categoria;Unitats;Direcció;Hotel de ciutat;Localitat;UTM (X);Grup;Subgrup;Memoria descriptiva;Municipi;Superfície;Inici d'activitat;Denominació comercial;UTM(Y);Places;Excepcions ratio turístic;Explotador/s;Signatura;Estat;longitude;latitude
;11;POLIGON 7, PARCEL·LA 1262, HABITATGE 401 CARRETERA PORTOPETRO - MONDRAGÓ, S/N. 07650 Portopetro, SANTANYÍ, Mallorca;;Portopetro;516746.52;Agroturisme;Allotjaments;;SANTANYÍ;;20/04/2006;NA MARTINA;4356586.85;22;;NA MARTINA SL (B57850968);AG/160;Alta;3.1943810838182407;39.35857113788539
;9;VALLDEMOSSA, KM. 15,970, S/N. 07170 VALLDEMOSSA, Mallorca;;Valldemossa;467424.217887;Agroturisme;Allotjaments;;VALLDEMOSSA;;01/06/2006;MIRABÓ DE VALLDEMOSSA;4394961.29144;18;;SON MIRABO SL (B57146979);AG/161;Alta;2.620007272904996;39.70388582692958
;3;POLIGON 47-PARCEL.LA 274, S/N. 07620 LLUCMAJOR, Mallorca;;Llucmajor;490529.15;Agroturisme;Allotjaments;;LLUCMAJOR;;04/07/2006;S´ALBENYETA;4367390.91;6;;MARIA MONSERRAT SITJAR CIRERA;AG/162;Alta;2.889916293656244;39.45603378568655
;4;FINCA S´OLIVAR. CARRETERA C-710, KM. 93,5, S/N. 07192 ESTELLENCS, Mallorca;;Estellencs;455086.077688;Agroturisme;Allotjaments;;ESTELLENCS;;01/09/2006;SANTUARI DE S´OLIVAR;4388914.03944;10;;FUNDACION S´OLIVAR DE ESTELLENCHS (G07599343);AG/163;Alta;2.476500655390086;39.64884032707174
;8;Predi CA´N GUILLOT - POLÍGON 7, PARCEL.LA 93, S/N. 07460 POLLENÇA, Mallorca;;Pollença;500173.39;Agroturisme;Allotjaments;;POLLENÇA;;13/11/2006;ALMOND VALLEY;4413551.56;16;;PROMA MALLORCA, SL (B16665523);AG/164;Alta;3.002027506049367;39.872008380057494
;14;POLÍGON. 13, PARCEL·LA 494, 598 I 599, CTRA SANTANYÍ, KM 42, S/N. 07630 CAMPOS, Mallorca;;Campos;505156.97;Agroturisme;Allotjaments;;CAMPOS;21000;15/11/2006;SON BARCELO MAS;4362342.21;27;;RURAL BARCELO SL (B16514515);AG/165;Alta;3.059902715616937;39.41057821662532
;7;POLIGON 19 PARCEL·LA 79, S/N. 07570 ARTÀ, Mallorca;;Artà;530731.42;Agroturisme;Allotjaments;;ARTÀ;;27/11/2006;SON NOT;4396535.04;14;;PEDRO MORELL MORAGUES;AG/166;Alta;3.35855226298263;39.71813383490156
;5;PREDIO ROQUETA, S/N. 07519 MARIA DE LA SALUT, Mallorca;;Maria De La Salut;508108.074464;Agroturisme;Allotjaments;;MARIA DE LA SALUT;;27/11/2006;ROQUETA;4391630.18132;12;;AGROTURISMO ROQUETA SL (B57093205);AG/167;Alta;3.0945397212864143;39.674454870756925
;2;PARCELA 233-A, POLIGONO 21, S/N. 07570 ARTÀ, Mallorca;;Artà;528173.255827;Agroturisme;Allotjaments;;ARTÀ;;21/03/2007;SON CAMINALS;4396129.94822;4;;ANDRES VIVES ANDREU;AG/168;Alta;3.328688587988553;39.71457225516202
;6;POLÍGON 7, PARCEL·LA 189, S/N. 07460 POLLENÇA, Mallorca;;Pollença;496320.47;Agroturisme;Allotjaments;;POLLENÇA;;12/03/2007;VARITX PARADÍS;4412598.95;12;;;AG/169;Alta;2.9569794178690816;39.86341739536645
